joke,semantic_word_1,semantic_word_2,semantic_word_3
"mostly men lie before the elections, sex and after fishing.",,,
only a widow can say exactly where her husband is.,only,where,
"your opinion is very important to me, please remain on the line until it goes to voicemail.",your,me,
you look like a before picture.,you,,
"if shit was music, you had / you would be an orchestra.",you,,
morning is the time when everyone is jealous of unemployed.,everyone,,
"i always take life with a grain of salt, ...plus a slice of lemon, ...and a shot of tequila.",i,,
how can you spot the blind guy at the nudist colony? it has / it is not hard.,how,you,
identity theft is the most diabolical way someone can compliment you on doing a good job at life.,you,,
what would martin luther king be if he was white? alive.,what,,
"i was going to give him a nasty look, but he already had one.",i,give,
"it has / it is ok, computer, i go to sleep after 20 minutes of inactivity too.",i,,
"we all kea! my first day on the job at an ikea store, i was told by my boss that employees needed to go to the meeting room before every shift. i asked why. he said, ""assembly required.""",my,why,
"wise people think all they say, fools say all they think.",all,,
you sound reasonable. it must be time to up my medication!,you,,
"my daughter told me she wants to be a secret agent. based on that alone, i do not think she had / she would be a good secret agent.",me,do not,
"life is a comedy for those who think, but a tragedy for those who feel.",those,,
what is the difference between men and women? a woman wants one man to satisfy her every need...a man wants every woman to satisfy his one need.,what,between,every
i am multi-talented: i can talk and piss you off at the same time.,i,,
why do black widow spiders kill their males after mating? to stop the snoring before it starts.,why,kill,
weddings and funerals are the same because i love going but i do not want them to be about me.,i,do not,
i could be a morning person. if morning started around noon.,i,,
"i must have a nice butt, because, everytime i am walking away from talking to someone they say ""what an ass?""",i,,
"you had / you would think that with nsa reading our tweets all the time, they could star or retweet some of the good ones.",you,all,
a woman's mind is cleaner than a man's: she changes it more often.,,,
never underestimate a woman's ability to make anything your fault.,never,anything,
"i always wanted to be somebody, but now i realize i should have been more specific.",i,realize,
"you have to be flexible to work here. on many occasions, you shall / you will be asked to bend over and grab your ankles.",you,,
"do you realize that in about 40 years, we will have thousands of old ladies running around with tattoos?",you,,
"i saw an ad for burial plots, and thought to myself this is the last thing i need.",i,the last,
why do not blacks celibrate thanksgiving? kfc is not open on holidays.,why,is not,
"shock me, say something intelligent.",me,,
social life? you mean my phone?,you,,
"early to bed, early to rise makes people suspicious.",,,
i am so poor i can not even pay attention.,i,can not,
a diplomat is someone who can tell you to go to hell in such a way that you will look forward to the trip.,you,go,
alcohol makes people do things they know they should not but kinda want to. e.g i started sleeping 20 hours a day.,should not,i,
work is for people who do not know how to fish.,do not,,
laugh and the world laughs with you. snore and you sleep alone,you,sleep,
lottery: a tax on people who are bad at math.,who,,
every morning is the dawn of a new error.,,,
"how many animals can jump higher than a skyscraper? all of them, skyscrapers can not jump.",jump,all,can not
why do we bake cookies and cook bacon?,why,,
better to understand a little than to misunderstand a lot.,,,
"do you know what did one ocean say to the other ocean? nothing, they just waved.",what,nothing,
"you are so fat, you could sell shade.",you,,
why was not jesus born in the usa? because god could not find three wise men and a virgin.,why,could not,
what do you call people who are afraid of santa claus? claustrophobic,what,,
"did you get those yoga pants on sale? because at my house they are 100% off,",you,my,
"one day, a little boy wrote to santa clause, ""please send me a sister."" santa clause wrote him back, ""ok, send me your mother.""",me,,
marriage is the main reason for divorce.,,,
why do husbands die before their wives? they want to.,why,,
i recently added squats to my workouts by moving the beer into the bottom shelf of the fridge.,i,bottom,
"if you want breakfast in bed, sleep in the kitchen.",you,,
"i do not know what your problem is, but i shall / i will bet it has / it is hard to pronounce.",do not,,
the hardest part of any relationship is when it has / it is not your turn to talk.,not,,
"somewhere an elderly lady reads a book on how to use the internet, while a young boy googles ""how to read a book"".",,,
"never get into fights with ugly people, they have nothing to lose.",fights,nothing,
"i swear to drunk i am not god, but seriously, stay in drugs, eat school, and do not do vegetables.",i,do not,
"women sometimes make fools of men, but most guys are the do-it-yourself type.",,,
what has / what is a mixed feeling? when you see your mother-in-law backing off a cliff in your new car.,you,,
ever since i saw you in your family tree i have wanted to cut it down.,you,cut,
"i get plenty of exercise - jumping to conclusions, pushing my luck, and dodging deadlines.",i,,
everything becomes 100 times louder when you are trying not to wake someone up.,everything,you,not
"me: siri, why am i alone? siri: *opens front facing camera*",why,,
i am probably single....because i did not forward those chain messages in 2008,i,did not,
my math teacher called me average. how mean!,my,,
"how many alcoholics does it take to change a light bulb? two. one to hold the bulb, and one to drink until the room starts spinning.",,,
the key to every relationship is honesty. honesty. honesty. honesty. honesty. ...gonna keep typing this until she stops looking over my shoulder.,,,
it is easier to preach ten sermons than it is to live one.,,,
is your name wifi? because i am feeling a connection.,your,,
"change is inevitable, except from a vending machine.",,,
"raising children takes a village, preferably one with many vineyards.",,,
i am out of bed and dressed. what more do you want?,i,what,you
my cat constantly looks at me like i asked her to give me a ride to the airport.,my,me,
"i never ask my kids to call me, i just change the netflix password and then do not respond to their texts.",never,do not,
please go play with your brother. that has / that is basically the reason we had him.,your,we,
"if i have learned anything in life, it has / it is that not enough people are at a loss for words.",i,not enough,
diplomacy is the art of letting someone else get your way.,your,,
chinese kid was born before the due date. parents named him sudden lee.,,,
"even people who are good for nothing can bring smile on your face, when pushed down the stairs...",nothing,your,pushed
"as the joker said, if you are good at something why do it for free...",you,why,
i never admit or deny anything it makes things more interesting.,never,anything,
a study of economics usually reveals that the best time to buy anything was last year.,anything,,
"tell me what you need, and i shall / i will tell you how to get along without it.",me,you,without
"in my spare time i like to read, write, and fall in love with unavailable people.",my,write,
oh... i did not tell you... then it must be none of your business...,did not,your,
i did not fight my way to the top of the food chain to be a vegetarian.,did not,fight,my
how do construction workers party? they raise the roof.,how,,
i think men who have a pierced ear are better prepared for marriage. they have experienced pain and bought jewelry.,i,,
"i have noticed that everyone who is for abortion, has already been born.",i,everyone,
i plan to donate my liver to an alcoholic so i shall / i will know it has / it is a match,i,,
my email password has been hacked. that has / that is the third time i have had to rename the cat.,my,,
"if tomatoes are technically a fruit, is ketchup technically a smoothie?",,,
sorry i am late. i was trying to think of ways to get out of this.,sorry,i,
do not go through that door that mysteriously opened all by itself in that 300 year old hotel with a tragic past.,do not,,
we have enough gun control. what we need is idiot control.,we,,
"if a man talks dirty to a woman, that has / that is sexual harassment. if a woman talks dirty to a man, that'll be $6.50 a minute.",,,
"whenever i find the key to success, someone changes the lock.",whenever,,
all those years of getting horrible elementary school pictures was just society's way of preparing you for your driver's license photo.,all,,
i want to be something really scary for halloween this year so i am dressing up as a phone battery at 2%.,i,,
the only thing worse than seeing something done wrong is seeing it done slowly.,only,,
"they say you are what you eat, so lay off the nuts.",you,,
people who make you feel special are keepers. anyone with such good taste has to be admired.,you,anyone,
latest survey shows that 3 out of 4 people make up 75% of the world's population.,,,
do not spell part backwards. it has / it is a trap.,do not,,
cancer cures smoking.,,,
"behind every fat woman there is a beautiful woman. no seriously, you are in the way.",every,you,
we can always tell when you are lying. your lips move.,we,you,
"if a turtle does not have a shell, is he homeless or naked?",does not,,
those of you who think you know it all are damn annoying to those of us who do!,you,,
aging gracefully is like the nice way of saying you are slowly looking worse.,you,,
"the good lord did not create anything without a purpose, but mosquitoes come close.",did not,anything,without
"sorry i did not text you back, but my phone recognized your number.",did not,you,
i have one of those unlimited cell phone plans. there has / there is no limit to how much they can charge me.,i,no,me
what do men and mascara have in common? they both run at the first sign of emotion.,what,,
"i am watching my neighbor through the blinds, he has / he is so creepy.",watching,my,
i gave up my seat to a blind person in the bus. that is how i lost my job as a bus driver.,i,how,
he who laughs last thinks slowest.,,,
think i am sarcastic? watch me pretend to care!,i,pretend,
"coffee, chocolate, men. some things are just better rich.",,,
love is the triumph of imagination over intelligence.,,,
one day you will meet someone so amazing in every way who will want absolutely nothing to do with you.,you,every,nothing
"forget hydrogen, you are my number one element.",you,,
this is not working out. i think we should start making other people miserable.,is not,i,
did noah include moustiques on the ark?,,,
"a bus station is where a bus stops. a train station is where a train stops. on my desk, i have a work station..",my,,
i need a new bank account. this one has run out of money.,i,,
"i grew a beard thinking it would say ""distinguished gentleman."" instead, turns out it says, ""senior discount, please!""",i,,
last time i got caught stealing a calendar i got 12 months.,i,,
every time someone calls me fat i get so depress i cut myself... a piece of cake.,every,me,cut
laughing stock: cattle with a sense of humor.,,,
i am new in town. could you give me directions to your apartment?,i,your,
what has / what is the difference between a woman having her period and a terrorist? you can negotiate with a terrorist,between,,
if a stranger offers you a piece of candy...take two.,you,,
sarcasm is just one more service we offer.,we,,
"if you think nobody cares if you are alive, try missing a couple of payments.",you,nobody,
"five days of the week, my body is a temple. the other two, it has / it is an amusement park!",my,,
the difference between in-laws and outlaws? outlaws are wanted.,difference,,
"i have the body of a 25 year old supermodel, but it takes up too much space in my freezer.",i,too much,my
money is not everything but it sure keeps you in touch with your children.,is not,your,
maybe you need a ladder to climb out of my business?,you,climb,my
fridges should have glass doors.that way i do not have to stand with the fridge door open trying to figure out my next move.,i,,
which day do chickens hate the most? friday.,,,
you can easily judge the character of a man by how he treats those who can do nothing for him.,you,nothing,
i do not find it hard to meet expenses. they are everywhere.,i,do not,everywhere
i do not suffer from insanity. i enjoy every minute of it.,i,do not,every
a donkey fell into a bowl of sugar. now that has / that is a sweet ass.,,,
"anyone who says ""good morning"" on a monday is a sociopath.",anyone,,
"nobody is interested in your sorrow, unless you can make a joke out of it.",nobody,you,
you have got two brain cells: one is in a wheelchair and the other one is pushing.,you,pushing,
"unfortunately, but sometimes a woman can not find herself a man. she does not like the drunken ones, and the sober ones does not like her.",can not,does not,
"why name hurricanes lame names, like sandy? name that shit hurricane death megatron 300 and i guarantee niggas be evacuating like they need to.",why,,
"i love my life, but it just wants to be friends...",i,my,
"me: real women do not care about romantic cliches. my internal voice: please buy me flowers, please buy me flowers, please buy me flowers.",do not,me,
"i am never wrong! one time, i thought i was wrong, but i was mistaken!",i,never,
"by the time a man realises that his father was right, he has a son who thinks he has / he is wrong.",,,
"join the army, visit exotic places, meet strange people, then kill them.",kill,,
"if we are not / am not supposed to eat animals, why are they made with meat?",are not / am not,why,
"however lonely you feel, you are never alone. there are literally millions of bugs, mites and bacteria living in your house. goodnight.",you,never,
"everyone has a photographic memory, some do not have film.",everyone,do not,
never marry a woman who was captain of the debate team.,never,,
i found a rock yesterday which measured 1760 yards in length. must be some kind of milestone.,i,,
"for sale: parachute. only used once, never opened.",,,
"i typed ""married"" but it was auto-corrected to ""martyred"". damn, smartphone has gained intelligence.",i,damn,
only dead fish go with the flow.,only,,
what a lovely surprise to finally discover how unlonely being alone can be.,,,
"""raccoons""? oh, you mean garbage pandas?",you,,
"if barbie is so popular, why do you have to buy her friends?",why,you,
"when you think you are doing something you have done before, it has / it is because god thought it was so funny, he had to rewind it for his friends.",you,so,
tell me again how i unloaded the dishwasher too loudly when you were watching golf. detectives will want to know exactly how this went down.,me,how,you
"men do not realize that if we are sleeping with them on the first date, we are probably not interested in seeing them again either.",do not,we,
"if every day is a gift, i had / i would like a receipt for monday. i want to exchange it for another friday.",every,i,
"oh, what? sorry. i was trying to imagine you with a personality.",what,i,you
if you are here - who is running hell?,you,who,
what has / what is the difference between men and government bonds? bonds mature.,between,,
life is scary; at least the salary is funny.,,,
"why is it so hard for women to find men that are sensitive, caring, and good-looking? because those men already have boyfriends.",why,,
"if anything is possible, is it possible for something to be impossible?",anything,,
"i am the type of person who tries to fall back asleep in the morning, just to finish a dream.",i,,
"a camel can work 10 days without drinking, i can drink 10 days without working.",without,i,
lazy people fact #5812672793. you were too lazy to read that number.,you,,
just because you have one does not mean you have to act like one.,you,does not,
if god is your co-pilot - swap seats.,your,,
fishermen are reel men.,,,
"i am not an alcoholic. alcoholics need a drink, but i already have one.",i,not,
how long have i been working for this company? ever since they threatened to fire me.,i,,
"barking dog at the back door wanting in and your wife's yelling at the front wanting in. which one do you let in? the dog, once he has / he is in, he shuts up!",back,your,front
nothing says' i love my dog' quite like spending more money on his haircut than you do your own.,nothing,i,you
the problem with trouble shooting is that trouble shoots back.,,,
i like to show my girlfriend who is boss in our house by holding a mirror up to her face.,i,show,my
it has / it is scary to think that people like you are graduating from college.,think,you,
my wife and i had a two-hour fight about whether or not we were fighting.,my,whether or not,
"if you do not drink, smoke or do drugs you may live long enough to be a real burden to loved ones. please pass the wine.",you,do not,pass
"sorry, my dog ate your text message.",my,your,
i tried to get back to the drawing board but i can not draw.,i,can not,
never give yourself a haircut after three margaritas.,never,,
"what did the duck say when he bought lipstick? ""put it on my bill.""",what,put,
"according to the second law of thermodynamics, you are supposed to share your hotness with me.",you,your,me
so apparently replying back to a wedding invite 'maybe next time' is not the correct response.,is not,,
"if you do not say it, they can not repeat it.",you,can not,
"be careful of your thoughts, they may become words at any moment.",your,any,
"they say people could not have everything because they do not have enough space to put it, i say 'everything' includes a bag with infinite space so i can put everything in easily.",could not,everything,i
q: what did the nurse say to john cena? a: icu.,what,,
the difference between an oral thermometer and a rectal thermometer is in the taste.,between,,
i am not the kind of girl you can take home to your wife.,i,not,you
i am currently boycotting any company that sells items i can not afford.,i,any,can not
"roses are red, violets are blue, sugar is sweet and so are you. but roses are wilting, violets are dead, sugar bowl's empty and so is your head.",you,your,
what is the secret? something which is told to one person at a time.,,,
the only substitute for good manners is fast reflexes.,,,
26.8 percent of all statistics are made up on the spot.,,,
age is important only if you are cheese and wine.,only,you,
my mind is like a steel trap. rusty and illegal in 37 states.,my,,
"if we put aside our differences and work together, i truly believe we can come up with a few more alternate spellings of the name britney.",we,i,
"i won $3 million on the lottery this weekend so i decided to donate a quarter of it to charity. now i have $2,999,999.75.",i,,
crime does not pay... does that mean that my job is a crime?,does not,my,
i like to hold hands at the movies... which always seems to startle strangers.,i,,
"do not worry guys, my wife just turned the car radio down so we should not be lost much longer.",do not,my,should not
"a little boy asked his father, ""daddy, how much does it cost to get married?"" father replied, ""i do not know son, i am still paying.""",how much,do not,i
what did the tree say to autumn? leaf me alone.,me,,
i am not lazy... i am just on my energy saving mode.,not,i,
there has / there is a fine line between cuddling and holding someone down so they can not get away.,between,can not,
i love being married. it has / it is so great to find that one special person you want to annoy for the rest of your life.,i,you,
"occasionally, a true friend gives his paw not his hand...",not,,
"get married early in the morning. that way, if it does not work out, you have not wasted a whole day.",does not,whole,
everything you do you are gonna regret. but if you do nothing you will not only regret but will also suffer.,everything,you,nothing
i always put in a full eight hours at work. spread out over the course of the week.,i,,
"i just took a power nap on a park bench, and made $7.30 in change.",i,,
some people are only alive because it is illegal to shoot them.,,,
i hate when people use words without knowing the meaning... gives me a huge hysterectomy on the side of my head.,i,without,my
"we must be subatomic particles, because i feel strong force between us.",we,i,between
why do americans choose from just two people to run for president and 50 for miss america?,why,,
"we can not help everyone, but everyone can help someone.",can not,everyone,
did you know that your body is made 70% of water? and now i am thirsty.,you,i,
the difference between true love and dinosaurs: we are sure that dinosaurs once existed on this earth.,between,we,
"i saw six men kicking and punching the mother-in-law. my neighbour said are you going to help?' i said no, six should be enough.'",i,punching,no
"on the other hand, you have different fingers.",you,,
do not stop! i do not usually get to see beauty in motion,do not,i,
my love for you is like dividing by zero - it can not be defined.,my,you,not
"if mayans could predict the future, why did not they predict their extinction?",why,did not,
plan ahead - it was not raining when noah built the ark.,was not,,
"i was going to quit all my bad habits for the new year, but then i remembered that nobody likes a quitter.",i,my,nobody
i always knew that i could never be a lawyer because of my inability to pass a bar.,i,never,pass
"never go to bed angry, stay awake and plot your revenge.",never,,
people who live in stone houses should not throw glasses.,should not,,
"childhood is like being drunk, everyone remembers what you did, except you.",everyone,you,
updating your relationship status in public is fine. updating your relationship problems in public is stupidity.,your,,
i eat the broken cookies first because i feel bad for them.,i,,
it has / it is so simple to be wise. just think of something stupid to say and then do not say it.,think,do not,
"i get it ladies, i had abs before i had kids too.",i,,
"why do people keep running over a string a dozen times with their vacuum cleaner, then reach down, pick it up, examine it, then put it down to give their vacuum one more chance?",why,put,
"college is the opposite of kidnapping. they demand $100,000 from you or they shall / they will send your kid back.",you,send,
you should argue with your wife only when she has / she is not around.,you,not,
the end of a relationship is not the worst thing. it has / it is worse when it does not end after the end.,is not,does not,
dating a single mother is like continuing from somebody else's saved game.,,,
is everything expensive or i am just poor?,everything,i,
"sometimes, when i close my eyes, i... can not see.",i,can not,
laugh alone and the world thinks you are an idiot.,you,,
"i believe in respect for the dead; in fact, i could only respect you if you were dead.",i,you,
"baby, if you were a fruit you had / you would be a fineapple.",you,,
"a garage sale is actually a garbage sale but the ""b"" is silent.",,,
efficiency is a highly developed form of laziness.,,,
"the early bird might get the worm, but the second mouse gets the cheese.",,,
"evening news is where they begin with good evening', and then proceed to tell you why it isn't.",you,why,is not
"the voices in my head may not be real, but they have some good ideas!",my,not,
my wife told me to stop impersonating a flamingo. i had to put my foot down.,my,me,put
my brain is not equipped with facial or name recognition technology.,my,not,
we live in an age where mentioning you read a book seems a little bit like you are showing off.,we,you,showing off
shin: a device for finding furniture in the dark.,,,
"life is an internet. 30 days after the first met, she wants you to register and begins taking taxes every month.",you,every,
why do they lock gas station bathrooms? are they afraid someone will clean them?,why,lock,afraid
"if you are looking for the best time to spill things on yourself, might i suggest wearing a white shirt and right before an interview.",you,,
"if you can stay calm while all around you is chaos, then you probably have not completely understood the situation.",you,all,have not
well are not / am not you a waste of two billion years of evolution.,you,,
upgrade your weekend: take monday off...,your,,
"if a person told you they were a pathological liar, should you believe them?",you,,
"do not trust atoms, they make up everything.",do not,everything,
strangers have the best candy.,best,,
"the sole purpose of a child's middle name, is so he can tell when he has / he is really in trouble.",really,,
"my dream woman has a special combination of inner and outer beauty and is, most importantly, too naive to know she has / she is way out of my league.",my,combination,most
what lies at the bottom of the ocean and twitches? a nervous wreck.,what,,
consciousness: that annoying time between naps.,,,
"i sometimes go to my own little world, but that has / that is okay, they know me there.",i,my own,me
took my dog to a bonfire and as he sat there staring at it blankly i realized he loves sticks. i was burning a giant pile of his toys.,my,sat,i
thanks to you. i have learned that my prayers only get answered if i forward an e-mail to seven of my friends and make a wish within five minutes.,i,my,only
"when i was born, the doctor came out to the waiting room and said to my father, ""i'm very sorry. we did everything we could. but he survived.""",i,sorry,everything
if you are going to be two faced at least make one of them pretty.,you,,
"how do people lose their kids at the mall? seriously, any tips would be greatly appreciated.",how,any,
never answer an anonymous letter.,never,,
what do sea monsters eat for lunch? fish and ships.,what,,
"blind man walks into a bar... and a table, and a chair.",,,
slept like a log last night... woke up in the fireplace.,slept,woke up,
"do not regret doing things, regret getting caught",do not,,
a diplomat is a man who always remembers a woman's birthday but never remembers her age.,always,remembers,never
"99% of women say they do not like men who wear leather pants. which works out perfectly, since 100% of men who wear leather pants do not like women.",do not,,
scientists proved that cows do not give us meat and milk. we just take it from them!,do not,we,take
i was not planning on giving christmas gifts this year until i heard about those exploding samsung galaxy phones.,was not,exploding,
are you always this stupid or is today a special occasion?,you,,
beauty is only skin ...but ugly goes all the way to the bone!,only,all,
"sure, white people can not say the ""n word"" but at least we can say phrases like, ""thanks for the warning, officer"" and, ""hey, dad.""",can not,we,
did you fall from heaven? cause your face is pretty messed up!,you,,
you have the perfect face for radio.,you,,
what is the difference between snowmen and snowwomen? snowballs.,what,between,
there are two types of guys: those who pee in the shower and those who do not admit it.,do not,,
a woman never wakes up her second baby just to see her smile.,never,,
"the five most essential words for a healthy, vital relationship ""i apologize"" and ""you are right.""",most,i,you
"chaos, panic, and disorder. my work here is done.",my,,
why kill time when you can make it work for you?,why,you,
"a friend is like a book: you do not need to read all of them, just pick the best ones.",you,do not,all
secret to success is to know who to blame for your failures.,who,your,
"to be happy with a man, you must understand him a lot and love him a little. to be happy with a woman, you must love her a lot and not try to understand her at all.",you,try,
"70% of our planet is covered in water, the other 30% is covered in idiots.",our,,
men wake up as good-looking as they went to bed. women somehow deteriorate during the night.,wake up,,
avoid arguments about the toilet seat...use the sink...,,,
what is tomorrow? the best labor saving device of today.,best,,
sometimes the only way you can feel good about yourself is by making someone else look bad. and i am tired of making other people feel good about themselves!,only,you,i
"i have seen people like you, but i had to pay admission!",i,you,
an opinion without 3.14159 is just an onion.,,,
at what age is it appropriate to tell my dog that he has / he is adopted?,what,my,
"kids, just because i do not care does not mean i am not listening.",i,do not,not
i sleep better naked… why can not the flight attendant understand this?,i,why,can not
"at every party there are two kinds of people: those who want to go home and those who do not. the trouble is, they are usually married to each other.",every,who,do not
do not take life too seriously. you will never get out of it alive.,not,you,never
why do men like love at first sight? it saves them a lot of time.,why,,
"actually, i do not think you are dyslexic; just really, really stupid.",i,do not,
"according to the principle of the sandwich, if you put butter on both sides the sandwich will hang in the air.",you,both,
there are three kinds of people: the ones who learn by reading. the ones who learn by observation. and the rest of them who have to touch the fire to learn it has / it is hot.,who,touch,
"introverts have fun too, we just do not care if you know...",we,do not,you
"i am not a facebook status, you do not have to like me.",i,not,you
"do not be nervous if someone is driving ahead of you- the world is round, just think that you are driving first!",do not,driving,round
all i ask is a chance to prove money can not make me happy.,all,i,can not
your secrets are safe with me because i literally will not remember them. this also applies to your birthday. your birthdays are safe with me.,your,me,will not
white smoke from under my hood means either my starter went out or my car has elected a new pope.,under,my,
be nice to your kids. they shall / they will choose your nursing home.,your,,
"everything happens for a reason; unfortunately, sometimes the reason is you.",everything,you,
"dear week, i am so over you. i am leaving you for your best friend, weekend. do not try to find us for at least 2 days.",i,you,do not
a successful man is one who makes more money that his wife can spend. a successful woman is one who can find such a man.,who,,
"introducing myself to new boyfriends parents: ""hi, i usually do not make it this far.""",myself,i,do not
the human soul weighs 1.2lbs. i know because i have weighed myself before and after i walk into my job.,i,myself,
stop with the blind jokes ... i do not see the point.,stop,i,do not
why do they use sterilized needles for death by lethal injection?,why,,
it has / it is hard to explain puns to thieves because they always take things literally.,always,,
did your parents keep the placenta and throw away the baby?,your,throw,
talk is cheap. until you hire a lawyer.,you,,
do not steal. that has / that is the government's job.,do not,,
"aww, it has / it is so cute when you try to talk about things you do not understand.",you,do not,
what is the nflation? being broke with a lot of money in your pocket.,your,,
"concerning the absence of toilet paper, there should be complaint books laid out at publicly used places.",,,
i wish conversations were like user agreements where i could skip to the end and just agree.,i,skip,
"in accordance to the heisenberg's uncertainty principle of quantum mechanics, we may already be in love right now.",we,right now,
marriage is like coffee. first it has / it is really hot. then it has / it is just right. then it helps you to get off your ass and do things.,you,,
"your smile must be a black hole, nothing can escape its pull.",your,nothing,
my mind wants to dance but my body is a really awkward white guy.,my,,
few women admit their age; few men act it.,their,,
"join the army, meet interesting people, and kill them.",kill,,
"all generalizations are false, including this one.",all,,
do one thing that scares you every day. maybe do four things. live in constant fear.,you,every,
your forehead is so big you should donate it to charity for shelter!,your,,
how are you related to the sun? because your teeth are the same colour as it.,you,your,
you so ugly on halloween someone said scary costume.,you,,
"when i said ""i was afraid of the dentist"", i meant the bill.",i,,
the only thing i have to offer men is that i do not ask questions during a movie.,i,do not,
accidentally called 911. set my house on fire to not look stupid.,my,not,
only in america ... do banks leave both doors open and then chain the pens to the counters.,only,both,
"i read recipes the same way i read science fiction. i get to the end and i think, ""well, that has / that is not going to happen.""",i,not,
"when my friends are sad, i send them a long ass paragraph, but when i am sad, they only say ""oh sorry"" or ""well that sucks"".",my,only,
"why was six scared of seven? because seven ""ate"" nine.",why,,
"i just read a book about stockholm syndrome. it was pretty bad at first, but by the end i kinda liked it.",i,pretty bad,
"babe, you are cuter than a puppy at an animal shelter, because i want to take you home!",you,i,you
are you a keyboard? because you are my type!,you,,
"when you go into court, you are putting your fate into the hands of people who were not smart enough to get out of jury duty.",you,who,were not
i can not count how many times i failed maths at school.,i,can not,
"handsome, sweet, intelligent, spontaneous, good-looking, nice friends, charming, funny, well...enough about me! how about you?",me,you,
"if i could rearrange the alphabet, i had / i would put ""u"" and ""i"" together.",i,,
the last thing i want to do is hurt you. but it has / it is still on the list.,i,you,
"women will never be equal to men until they can walk down the street with a bald head and a beer gut, and still think they are sexy.",never,,
i always feel better when my doctor says something is normal for my age but then think dying will also be normal for my age at some point.,i,my,
a good time to keep your mouth shut is when you are in deep water.,your,when,
"lawyers really are not / am not so bad, it has / it is just ninety-nine percent of lawyers that make the rest look bad.",are not / am not,,
i have to exercise early in the morning before my brain figures out what i am doing.,i,before,
"you ever make fun of someone so much, you think you should thank them for all the good times you have had?",you,all,
the shinbone is a device for finding furniture in a dark room.,,,
"the advantage of using a nailcutter is, you will not get scratchmark on your forehead skin and the disadvantage is, you can not peel off garlic skin.",you,will not,can not
"my girl always tells me ""life is about the little things"", but i just hate when she talks about her ex.",my,,
some people hear voices.. some see invisible people.. others have no imagination at all.,no,,
an escalator can never break it can only become stairs.,never,only,
"baseball is my favorite sport, because you can play it on a professional level with food in your mouth.",my,you,
"the more vital your research, the less people will understand it.",your,,
"i never forget a face, but in your case i shall / i will be glad to make an exception",i,never,your
i just want to live in a world where people come with on/off switches.,i,where,
stressed is just desserts spelled backward.,,,
"a woman marries a man expecting he will change, but he doesn't. a man marries a woman expecting that she will not change, and she does.",does not,will not,
"we need to look at how the world really works, not just accept the way we are told it works.",we,not,
"i used to think love was abstract, until you implemented it in my heart.",you,my,
i love the f5 key. it s just so refreshing.,i,,
the most dangerous room in the house really depends on where your wife is at the moment.,your,,
because of the disregard towards safety techniques people not only die but are also born.,not,,
definition of a teenager? god's punishment for enjoying sex.,,,
for the last time stop asking if i am drunk. i am not drunk! who would name their kid drunk?,i,not,who
"i love when i leave work early to surprise my wife at home and she greets me with those three very special words... ""were you fired?""",i,,
"i have spent the past four years looking for my ex-girlfriend's killer, but no one will do it.",i,no,
you should need a license to be that ugly.,you,,
"do not let your worries get the best of you; remember, moses started out as a basket case.",do not,your,remember
"i know milk does a body good, but damn girl, how much have you been drinking?",i,you,
your iq's lower than your shoe size.,your,,
i do not have an attitude problem. you have a perception problem.,i,do not,you
a clean desk is a sign of a cluttered desk drawer.,,,
those who have some means think that the most important thing in the world is love; the poor know that it is money.,who,most,
stop repeat offenders. do not re-elect them!,do not,,
my boyfriend donated his brain to science before he was done using it.,,,
"age is an issue of mind over matter. if you do not mind, it does not matter.",you,does not,
"it has / it is not how good your work is, it has / it is how well you explain it.",not,how,you
what do you get when you cross a joke with a rhetorical question?,what,you,
"ever since i took geometry at school, my life has turned around 360 degrees.",i,my,
why are birthday's good for you? statistics show that the people who have the most live the longest!,why,you,most
"love is blind, only marriage opens your eyes.",only,your,
you still use internet explorer? you must like it nice and slow.,you,,
a woman worries about the future until she gets a husband. a man never worries about the future until he gets a wife.,never,,
"if he asks what sort of books you are interested in, tell him check books.",what,you,
"ham and eggs: a day's work for a chicken, a lifetime commitment for a pig.",,,
some people think that their life experience compensates for their lack of brain.,their,,
why do retirees smile all the time? because they can not hear a word you are saying!,why,all,can not
"everything always ends well. if not, it has / it is probably not the end.",everything,not,
what does a skeleton orders at a restaurant? spare ribs.,what,,
"two fish are sitting in a tank. one looks over at the other and says: ""hey, do you know how to drive this thing?""",you,,
"my psychiatrist told me i was crazy and i said i want a second opinion. he said okay, you are ugly too.",my,you,
what did the little mexican boy get for christmas? my bike.,what,my,
the person who invented the door knock won the no-bell prize.,who,,
somedays i feel like running away. then i remember how much i hate running.,i,remember,
"dream carefully, because dreams come true.",,,
"love is not the number of times you kissed her, but the number of moments you were dying to kiss her.",not,you,
what do ghosts serve for dessert? i scream.,what,,
"if at first you do not succeed, blame someone else and seek counseling.",you,do not,
never hit a man with glasses. hit him with a baseball bat.,never,hit,
"sex without love is a meaningless experience, but as far as meaningless experiences go, it has / it is pretty damn good.",without,,
"are you a singularity? not only are you attractive, but the closer i get to you, the faster time seems to slip by.",you,not only,
"knowledge is power, and power corrupts. so study hard and be evil.",,,
"if by free spirits you mean an open bar, then yes i love free spirits.",you,i,
"if a church wants a better pastor, it only needs to pray for the one it has.",only,pray,
"we never really grow up, we only learn how to act in public.",never,only,
alcohol will not mend a broken heart.but that does not mean i will not try it again tonight.,will not,does not,i
do not feed the animals at the zoo! you should better feed the security guard!,do not,you,
the panic begins with the first one to say calm down!',,,
